title, date, reviews, discount, original price, discounted price
Counter-Strike Nexon: Zombies,7 Oct 2014,Mixed,,Free to Play,
Vampyr,4 Jun 2018,Mostly Positive,,CDN$ 65.99,
Assetto Corsa,19 Dec 2014,Very Positive,,CDN$ 22.79,
RIFT,1 Mar 2011,Mostly Positive,,Free to Play,
Eco,6 Feb 2018,Mostly Positive,,CDN$ 33.99,
Just Cause 4,4 Dec 2018,Mostly Negative,,CDN$ 79.99,
City Car Driving,3 Nov 2016,Mixed,,CDN$ 32.99,
BLACK CLOVER: QUARTET KNIGHTS,13 Sep 2018,Mostly Positive,,CDN$ 64.99,
Closers,6 Feb 2018,Mostly Positive,,Free To Play,
Arma 3,12 Sep 2013,Very Positive,,CDN$ 54.99,
Getting Over It with Bennett Foddy,6 Dec 2017,Mostly Positive,,CDN$ 8.99,
Quern - Undying Thoughts,28 Nov 2016,Very Positive,,CDN$ 27.99,
Age of Empires® III: Complete Collection,5 Jan 2012,Very Positive,,CDN$ 43.99,
ShellShock Live,11 Mar 2015,Very Positive,,CDN$ 7.79,
FINAL FANTASY XV WINDOWS EDITION,6 Mar 2018,Mostly Positive,,CDN$ 66.99,
Crossout,26 Jul 2017,Mixed,,Free To Play,
House Party,30 Jun 2017,Very Positive,,CDN$ 16.99,
The Blackout Club,30 Oct 2018,Very Positive,,CDN$ 22.79,
Aerofly FS 2 Flight Simulator,20 Nov 2017,Mostly Positive,,CDN$ 64.99,
CLANNAD,23 Nov 2015,Overwhelmingly Positive,,CDN$ 54.99,
Onward,29 Aug 2016,Very Positive,,CDN$ 27.99,
theHunter: Call of the Wild™,16 Feb 2017,Mostly Positive,,CDN$ 25.49,
Total War: NAPOLEON – Definitive Edition,25 Feb 2010,Very Positive,,CDN$ 27.99,
Keep Talking and Nobody Explodes,8 Oct 2015,Overwhelmingly Positive,,CDN$ 16.99,
GROUND BRANCH,14 Aug 2018,Very Positive,,CDN$ 22.79,
TEKKEN 7,1 Jun 2017,Very Positive,,CDN$ 49.99,
Labyrinth of Refrain: Coven of Dusk / ルフランの地下迷宮と魔女ノ旅団,18 Sep 2018,Mostly Positive,,CDN$ 59.99,
High Hell,23 Oct 2017,Very Positive,-75%,CDN$ 11.49,CDN$ 2.87							
Hobo: Tough Life,25 Jul 2017,Mixed,,CDN$ 20.99,
World of Tanks Blitz,9 Nov 2016,Mostly Positive,,Free to Play,
Homeworld: Deserts of Kharak,20 Jan 2016,Mostly Positive,,CDN$ 54.99,
Shadowverse CCG,27 Oct 2016,Mostly Positive,,Free To Play,
The Elder Scrolls V: Skyrim VR,2 Apr 2018,Very Positive,,CDN$ 79.99,
Hunt Showdown,22 Feb 2018,Mostly Positive,,CDN$ 36.99,
VEGA Conflict,14 Dec 2015,Mixed,,Free to Play,
GORN,10 Jul 2017,Overwhelmingly Positive,,CDN$ 21.99,
Move or Die,21 Jan 2016,Very Positive,,CDN$ 16.99,
Planetary Annihilation: TITANS,18 Aug 2015,Mostly Positive,,CDN$ 45.49,
Ori and the Blind Forest: Definitive Edition,27 Apr 2016,Overwhelmingly Positive,,CDN$ 22.09,
SpellForce 3,7 Dec 2017,Mostly Positive,,CDN$ 54.99,
Bad North,16 Nov 2018,Mostly Positive,,CDN$ 17.49,
Golf It!,17 Feb 2017,Very Positive,,CDN$ 9.99,
Campfire Pro,14 Nov 2018,Mostly Positive,,CDN$ 56.99,
SENRAN KAGURA Peach Beach Splash,7 Mar 2018,Mostly Positive,,CDN$ 49.99,
War Robots,4 Apr 2018,Mixed,,Free To Play,
Town of Salem,15 Dec 2014,Very Positive,,CDN$ 5.49,
Crusader Kings II,14 Feb 2012,Very Positive,,CDN$ 43.99,
Call of Duty: World at War,18 Nov 2008,Very Positive,,CDN$ 21.99,
Firewatch,9 Feb 2016,Very Positive,,CDN$ 21.99,
Elite Dangerous,2 Apr 2015,Mixed,,CDN$ 39.99,
